"depot","route_no","line_id"
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,BET2,R002001
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403002
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T403,T403001
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,T451,T451002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
5,"401",U401002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,BET7,R007002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T352,T352002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,T402,T402002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301002
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
4,"301",U301001
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404002
5,T404,T404001
5,T404,T404001
5,T404,T404001
